FMID,start,end,zip
1011871,2016-06-25,2016-10-01,44130
1011878,2016-05-04,2016-10-12,49007
1010691,2014-04-02,2014-11-30,64759
1011100,2015-05-05,2015-10-27,37204
1009845,2014-06-10,2014-11-25,10027
1005586,2014-05-16,2014-10-17,19801
1008071,2014-05-03,2014-11-22,20009
1012710,2016-04-09,2016-11-19,20011
1010284,2014-06-26,2014-11-20,10033
1010968,2015-06-01,2015-11-15,19146
1009994,2014-06-07,2014-09-27,69361
1010376,2016-05-14,2016-10-01,61920
1012790,2016-09-03,2017-06-24,32626
1012158,2016-01-01,2016-12-31,98072
1010873,2015-06-05,2015-10-30,66604
1005309,2015-06-01,2015-11-01,19146
1011881,2016-05-07,2016-10-15,84341
1010966,2015-06-01,2015-11-15,19129
1005299,2015-06-01,2015-11-15,19146
1010994,2016-05-05,2016-09-01,24521
1009959,2016-01-01,2016-12-31,45402
1004950,2014-05-10,2014-10-11,60450
1010775,2015-01-18,2020-01-05,32461
1005636,2013-01-01,2013-12-31,21218
1005310,2015-06-01,2015-11-01,19121
1012784,2016-06-02,2016-09-29,46208
1012280,2016-06-09,2016-08-18,89431
1010965,2015-06-01,2015-11-22,19133
1005304,2015-06-01,2015-11-15,19139
1000060,2013-04-20,2013-12-21,10019
1005306,2015-06-01,2015-11-01,19143
1011895,2016-05-14,2016-10-29,60637
1010386,2014-05-06,2014-09-30,98406
1012500,2016-10-02,2017-05-28,85281
1000061,2013-01-01,2013-12-31,10024
1000062,2013-01-01,2013-12-31,10028
1000063,2013-06-23,2013-11-24,10128
1000064,2013-01-01,2013-12-31,10025
1011989,2016-05-10,2016-09-27,67401
1000986,2013-05-12,2013-10-20,84110
1009004,2014-01-01,2014-12-31,32303
1001887,2014-05-06,2014-09-23,29624
1004573,2013-06-06,2013-10-04,29620
1010487,2016-04-16,2016-11-22,24210
1000065,2013-01-01,2013-12-31,10014
1011313,2016-01-01,2016-12-01,70420
1011180,2015-05-31,2016-05-29,33470
1001083,2015-06-09,2015-10-27,49301
1010467,2014-06-07,2014-09-27,30103
1011328,2016-05-01,2016-10-01,17325
1008006,2016-06-01,2016-12-24,20009
1008961,2013-01-01,2013-12-31,96750
1012288,2016-05-07,2016-10-29,49221
1008667,2013-01-01,2013-12-31,28027
1012233,2016-05-02,2016-10-01,38120
1003562,2015-01-01,2015-12-31,85233
1008054,2015-01-01,2015-12-31,34604
1011967,2016-03-15,2016-07-31,32531
1004086,2014-10-04,2015-07-25,36542
1008612,2013-01-01,2013-12-31,32653
1011033,2016-06-04,2016-10-29,88310
1004070,2015-07-11,2015-10-10,81101
1002175,2016-04-16,2016-11-19,97321
1010559,2014-05-03,2014-10-25,49224
1010407,2014-05-17,2014-11-08,87102
1010597,2014-06-14,2014-09-13,28681
1000519,2014-05-23,2014-09-19,13607
1007366,2014-05-10,2014-10-25,56308
1011196,2016-07-10,2016-10-30,14802
1008835,2016-06-28,2016-10-11,93905
1005548,2016-11-01,2017-04-01,33187
1011735,2016-10-01,2017-07-01,78552
1010096,2014-05-04,2014-10-26,38117
1001962,2016-06-06,2016-10-03,52172
1002717,2016-05-05,2016-10-27,49010
1008262,2013-05-11,2013-10-12,28675
1011777,2015-10-21,2016-05-11,48912
1005675,2013-06-15,2013-10-12,44601
1002250,2013-05-04,2013-10-31,48801
1012389,2016-05-05,2016-09-29,97007
1010476,2014-01-01,2014-12-31,49707
1005447,2013-06-19,2013-09-28,83611
1009792,2014-06-10,2014-10-14,60803
1009998,2014-01-08,2014-03-05,91001
1006749,2014-06-07,2014-10-18,62002
1005644,2015-06-07,2015-10-01,95642
1005645,2015-06-03,2015-10-01,95665
1005646,2015-06-13,2015-10-01,95685
1008321,2014-04-01,2014-09-30,23002
1008399,2013-01-01,2013-12-31,32034
1011171,2015-05-02,2015-10-31,50010
1001135,2013-07-12,2013-09-20,25252
1010105,2014-05-04,2015-08-30,37115
1011670,2016-05-28,2016-10-15,12010
