FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
1011871,44130,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1011878,49007,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,,,
1010691,64759,,,,,15:00:00-06:00,18:00:00-06:00,,,,,08:00:00-06:00,13:00:00-06:00,,
1002454,10029,,,08:00:00-05:00,17:00:00-05:00,,,,,,,08:00:00-05:00,20:00:00-05:00,,
1011100,37204,,,15:30:00-06:00,18:30:00-06:00,,,,,,,,,,
1009845,10027,,,10:00:00-05:00,19:00:00-05:00,,,,,,,,,,
1005586,19801,,,,,,,,,08:00:00-05:00,11:00:00-05:00,,,,
1008071,20009,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1012710,20011,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
1010284,10033,,,,,,,08:00:00-05:00,17:00:00-05:00,,,,,,
1003877,55413,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,
1010968,19146,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
1009994,69361,,,,,,,,,,,08:00:00-07:00,11:00:00-07:00,,
1010376,61920,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1012790,32626,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00,,
1012158,98072,,,,,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,11:00:00-08:00,18:00:00-08:00,,
1010873,66604,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,,,
1005309,19146,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,,,
1011881,84341,,,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00
1010966,19129,,,,,13:00:00-05:00,17:00:00-05:00,,,,,,,,
1005299,19146,,,14:00:00-05:00,18:00:00-05:00,,,,,,,,,,
1010994,24521,,,,,,,15:30:00-05:00,18:30:00-05:00,,,,,,
