,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
64,1010487,24210,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
102,1011967,32531,07:00:00-06:00,17:00:00-06:00,07:00:00-06:00,17:00:00-06:00,07:00:00-06:00,17:00:00-06:00,07:00:00-06:00,17:00:00-06:00,07:00:00-06:00,17:00:00-06:00,07:00:00-06:00,14:00:00-06:00,,
122,1002222,48740,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
128,1007366,56308,,,,,,,15:00:00-06:00,18:00:00-06:00,,,,,,
159,1009998,91001,,,,,15:00:00-08:00,19:00:00-08:00,,,,,,,,
185,1005944,98221,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
191,1008251,29621,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
203,1010223,48104,,,,,07:00:00-05:00,15:00:00-05:00,,,,,07:00:00-05:00,15:00:00-05:00,,
307,1001245,72401,,,,,,,,,,,07:00:00-06:00,13:00:00-06:00,,
473,1001403,97075,,,,,,,,,,,10:00:00-08:00,13:30:00-08:00,,
615,1000254,24060,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
1068,1011740,27510,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
1070,1004738,21157,,,,,,,,,,,08:00:00-05:00,14:00:00-05:00,,
1509,1008316,22204,,,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00
1571,1009865,72032,,,,,,,,,,,06:30:00-06:00,12:00:00-06:00,,
1586,1002967,13326,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
1868,1009013,76201,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
1975,1012192,92020,,,,,,,15:00:00-08:00,18:00:00-08:00,,,,,,
2026,1010225,49525,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
2124,1000312,27701,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
2160,1002854,19380,,,,,,,14:00:00-05:00,18:00:00-05:00,,,,,,
2373,1004719,66801,,,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
2508,1009026,46278,,,,,,,,,,,09:00:00-05:00,12:30:00-05:00,,
2553,1008265,94574,,,,,,,,,09:00:00-08:00,13:00:00-08:00,11:00:00-08:00,16:00:00-08:00,11:00:00-08:00,16:00:00-08:00
2561,1001247,46140,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
2589,1010166,23226,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
2645,1012061,72701,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
2791,1001487,61101,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
2832,1006031,22401,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
3057,1004321,29551,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
3140,1002208,60030,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00,,
3207,1010623,53220,,,,,,,,,,,,,10:00:00-06:00,14:00:00-06:00
3331,1004979,63401,,,,,,,,,,,08:00:00-06:00,00:00:00-06:00,,
3431,1010686,20169,,,,,,,14:30:00-05:00,18:30:00-05:00,,,,,,
3448,1010845,29208,,,09:30:00-05:00,13:30:00-05:00,,,,,,,,,,
3945,1001038,60901,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
4033,1012794,86401,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
4039,1003269,12402,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
4120,1010416,70503,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,,,
4193,1009803,97401,,,10:00:00-08:00,15:00:00-08:00,,,10:00:00-08:00,14:00:00-08:00,,,09:00:00-08:00,15:00:00-08:00,,
4269,1012618,20175,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
4339,1000905,48146,,,,,,,,,,,,,11:00:00-05:00,16:00:00-05:00
4437,1005431,87107,,,,,,,,,,,10:00:00-07:00,12:00:00-07:00,,
4920,1012523,55401,,,,,,,,,,,10:00:00-06:00,13:00:00-06:00,,
5003,1010201,48162,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
5013,1012508,97292,,,,,,,,,,,,,11:00:00-08:00,13:00:00-08:00
5035,1002538,32344,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
5043,1000008,81401,,,,,,,,,,,10:00:00-07:00,13:00:00-07:00,,
5071,1012560,28655,,,,,,,,,,,11:00:00-05:00,15:00:00-05:00,,
5699,1010959,10562,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00,,
5724,1011684,38112,,,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,
5930,1002870,19460,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
5986,1010118,48108,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
6016,1002350,90094,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
6077,1003460,48469,,,,,,,,,15:00:00-05:00,19:00:00-05:00,12:00:00-05:00,16:00:00-05:00,,
6396,1011004,61068,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
6768,1012696,32459,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
6842,1009082,29928,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,,,
6869,1004337,55126,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,
6872,1001875,85901,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
7144,1012351,56374,,,,,,,,,15:00:00-06:00,18:00:00-06:00,,,,
7150,1002928,18015,,,,,,,15:00:00-05:00,19:00:00-05:00,,,,,,
7441,1004439,27514,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
7536,1008419,29745,,,,,01:00:00-05:00,18:00:00-05:00,,,,,,,,
7784,1008842,35401,,,,,,,,,,,07:00:00-06:00,12:00:00-06:00,,
7791,1001563,85308,,,,,16:00:00-07:00,19:00:00-07:00,,,,,,,,
7865,1012198,85012,,,,,09:00:00-07:00,13:00:00-07:00,,,,,,,,
7900,1012402,29070,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
8062,1007306,27587,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
8066,1010927,27610,,,10:00:00-05:00,14:00:00-05:00,,,,,,,,,,
8458,1009023,23185,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
