,FMID,zip,mon_start,mon_end,tue_start,tue_end,wed_start,wed_end,thu_start,thu_end,fri_start,fri_end,sat_start,sat_end,sun_start,sun_end
17,1012790,32626,,,,,,,,,,,08:30:00-05:00,13:00:00-05:00,,
27,1004950,60450,,,,,,,,,16:30:00-06:00,22:00:00-06:00,09:00:00-06:00,15:00:00-06:00,,
42,1011895,60637,,,,,,,,,,,09:00:00-06:00,14:00:00-06:00,,
64,1010487,24210,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
75,1011180,33470,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
102,1011967,32531,,,,,,,09:00:00-06:00,17:00:00-06:00,09:00:00-06:00,23:00:00-06:00,09:00:00-06:00,23:00:00-06:00,,
110,1011033,88310,,,,,17:00:00-07:00,18:00:00-07:00,,,,,,,,
122,1002222,48740,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
128,1007366,56308,,,09:00:00-06:00,12:00:00-06:00,,,,,,,,,,
143,1011777,48912,,,,,14:30:00-05:00,19:00:00-05:00,,,,,,,,
159,1009998,91001,,,,,16:00:00-08:00,20:00:00-08:00,,,,,,,,
185,1005944,98221,,,,,,,,,,,10:00:00-08:00,16:00:00-08:00,10:00:00-08:00,16:00:00-08:00
191,1008251,29621,,,08:00:00-05:00,13:00:00-05:00,,,08:00:00-05:00,13:00:00-05:00,,,08:00:00-05:00,13:00:00-05:00,,
196,1003516,60640,,,,,15:00:00-06:00,19:00:00-06:00,,,,,,,,
203,1010223,48104,,,,,16:00:00-05:00,20:00:00-05:00,,,,,,,,
208,1001142,21401,,,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00
221,1005207,37615,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
225,1012562,56208,,,,,09:00:00-06:00,13:00:00-06:00,,,,,,,,
260,1012129,22201,,,,,,,,,,,08:00:00-05:00,12:00:00-05:00,,
274,1010575,19382,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
287,1003219,28694,,,,,,,,,,,10:00:00-05:00,14:00:00-05:00,,
307,1001245,72401,,,12:00:00-06:00,17:30:00-06:00,,,,,,,07:00:00-06:00,13:00:00-06:00,,
351,1005604,65605,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
360,1011826,85321,,,,,,,05:00:00-07:00,19:00:00-07:00,,,,,,
382,1004633,98110,,,,,,,,,,,09:00:00-08:00,14:00:00-08:00,,
473,1001403,97075,,,,,,,,,,,09:00:00-08:00,13:30:00-08:00,,
485,1010607,21014,,,,,,,,,,,10:00:00-05:00,12:00:00-05:00,,
557,1002802,31639,,,,,,,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,18:00:00-05:00,09:00:00-05:00,15:00:00-05:00,,
568,1010111,64424,,,,,,,,,,,,,,
573,1010406,20814,,,,,,,,,,,,,09:00:00-05:00,13:30:00-05:00
615,1000254,24060,,,,,14:00:00-05:00,18:00:00-05:00,,,,,09:00:00-05:00,14:00:00-05:00,,
695,1003353,80501,,,,,,,,,,,09:00:00-07:00,15:00:00-07:00,09:00:00-07:00,15:00:00-07:00
696,1012335,80302,,,,,16:00:00-07:00,20:00:00-07:00,,,,,,,,
718,1002171,49712,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
766,1001519,26330,,,,,,,,,,,,,11:00:00-05:00,14:00:00-05:00
776,1005440,14618,,,,,,,,,,,,,13:00:00-05:00,16:00:00-05:00
827,1002427,64113,,,,,,,,,,,09:00:00-06:00,12:00:00-06:00,,
860,1011923,32832,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00,,
877,1000843,91502,,,,,,,,,,,08:00:00-08:00,12:30:00-08:00,,
918,1008380,23220,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,,,
924,1004248,49601,,,08:00:00-05:00,13:00:00-05:00,,,,,08:00:00-05:00,13:00:00-05:00,,,,
947,1009017,94515,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
997,1003627,71457,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1044,1006857,62901,,,,,,,,,18:00:00-06:00,21:00:00-06:00,,,,
1068,1011740,27510,,,,,,,,,,,07:00:00-05:00,12:00:00-05:00,,
1070,1004738,21157,,,,,,,,,,,08:00:00-05:00,13:00:00-05:00,,
1084,1012173,27511,,,,,,,,,,,08:00:00-05:00,12:30:00-05:00,,
1093,1007668,64720,,,,,,,,,,,07:30:00-06:00,12:00:00-06:00,,
1183,1011823,85225,,,,,,,15:00:00-07:00,19:00:00-07:00,,,,,,
1202,1003837,29403,,,,,,,,,,,09:00:00-05:00,15:00:00-05:00,09:00:00-05:00,15:00:00-05:00
1208,1004271,49720,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,
1211,1011689,28217,,,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00,08:00:00-05:00,18:00:00-05:00,00:00:00-05:00,18:00:00-05:00
1218,1000626,27312,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
1220,1011537,37408,,,,,,,,,,,10:00:00-05:00,17:00:00-05:00,11:00:00-05:00,16:00:00-05:00
1224,1006635,74159,,,,,,,,,,,08:30:00-06:00,11:00:00-06:00,,
1253,1003022,23235,,,10:00:00-05:00,18:00:00-05:00,10:00:00-05:00,18:00:00-05:00,10:00:00-05:00,18:00:00-05:00,10:00:00-05:00,18:00:00-05:00,10:00:00-05:00,18:00:00-05:00,,
1321,1012712,64106,,,,,16:00:00-06:00,19:00:00-06:00,,,,,,,,
1336,1003131,64050,,,,,06:00:00-06:00,13:00:00-06:00,,,,,,,,
1339,1008434,20110,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00,,
1371,1008938,28610,,,,,,,,,15:00:00-05:00,18:00:00-05:00,,,,
1380,1011959,85282,,,,,,,,,,,09:00:00-07:00,13:00:00-07:00,,
1435,1012118,43214,,,,,16:00:00-05:00,19:00:00-05:00,,,,,,,,
1506,1011118,65203,,,,,16:00:00-06:00,18:00:00-06:00,,,,,,,,
1509,1008316,22204,,,,,,,,,,,,,09:00:00-05:00,13:00:00-05:00
1571,1009865,72032,,,06:30:00-06:00,12:00:00-06:00,,,,,,,06:30:00-06:00,12:00:00-06:00,,
1586,1002967,13326,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00,,
1594,1000158,75019,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
1604,1009614,33706,,,,,,,,,,,,,09:00:00-05:00,14:00:00-05:00
1643,1004382,66044,,,,,,,16:00:00-06:00,18:00:00-06:00,,,,,,
1675,1006230,65010,,,,,,,03:00:00-06:00,06:30:00-06:00,,,,,,
1694,1012106,70116,,,,,13:00:00-06:00,17:00:00-06:00,,,,,,,,
1772,1001717,22193,,,,,,,,,,,,,10:00:00-05:00,13:00:00-05:00
1776,1012749,75201,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00,10:00:00-06:00,18:00:00-06:00
1778,1002739,94015,,,,,,,,,,,09:00:00-08:00,13:00:00-08:00,,
1796,1010818,24541,,,,,15:00:00-05:00,18:00:00-05:00,,,,,,,,
1868,1009013,76201,,,,,,,,,,,09:00:00-06:00,13:00:00-06:00,,
1896,1010066,37055,,,,,,,,,,,10:00:00-06:00,12:00:00-06:00,,
1902,1012662,17019,,,,,,,,,,,09:00:00-05:00,12:00:00-05:00,,
1946,1008815,76010,,,,,,,,,08:00:00-06:00,13:00:00-06:00,08:00:00-06:00,13:00:00-06:00,,
1975,1012192,92020,,,,,,,03:00:00-08:00,18:00:00-08:00,,,,,,
1982,1010080,99362,,,,,,,16:00:00-08:00,19:30:00-08:00,,,,,,
1996,1012608,50309,,,,,,,,,,,08:00:00-06:00,12:00:00-06:00,,
