,FMID,MarketName,Facebook,Twitter,Youtube,Website,has_social_media,city,State,street,County,x,y,Credit,WIC,WICcash,SFMNP,Organic,Flowers,Vegetables,Meat,Nursery,Wine,Coffee,Fruits,PetFood,WildHarvested,updateTime,Location,AddressNumber,PlaceName,StateName,StreetName,StreetNamePreDirectional,StreetNamePostDirectional,ZipCode,StreetNamePrefix,StreetNameSuffix,USPSBox,OccupancySuite
0,1012063,Caledonia Farmers Market Association  Danville,https://www.facebook.com/Danville.VT.Farmers.Market/,,,https://sites.google.com/site/caledoniafarmersmarket/,True,Danville,Vermont,,Caledonia,-72.140305,44.411013,1,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6/28/2016 12:10:09 PM,,,,,,,,,,,,
1,1011871,Stearns Homestead Farmers Market,,,,http://Stearnshomestead.com,True,Parma,Ohio,6975 ridge road,Cuyahoga,-81.7285969,41.375118,1,1,0,1,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4/9/2016 8:05:17 PM,,6975,,,ridge,,,,,road,,
2,1011878,100 Mile Market,https://www.facebook.com/100MileMarket/?fref=ts,,,http://www.pfcmarkets.com,True,Kalamazoo,Michigan,507 harrison st,Kalamazoo,-85.574887,42.296024,1,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7/15/2016 7:20:33 PM,,507,,,harrison,,,,,st,,
3,1009364,106 S Main Street Farmers Market,,,,http://thetownofsixmile.wordpress.com/,True,Six Mile,South Carolina,106 main south street,,-82.8187,34.8042,1,0,0,0,,,,,,,,,,,2013,,106,,,main,south,,,,street,,
4,1010691,10th Steet Community Farmers Market,,,,,True,Lamar,Missouri,10th street,Barton,-94.2746191,37.495628,1,0,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10/28/2014 9:49:46 AM,,,,,10th,,,,,street,,
5,1002454,112st Madison Avenue,,,,,False,New York,New York,112 madison avenue,New York,-73.9493,40.7939,0,0,1,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3/1/2012 10:38:22 AM,Private business parking lot,112,,,madison,,,,,avenue,,
6,1011100,12 South Farmers Market,12_South_Farmers_Market,@12southfrmsmkt,,http://www.12southfarmersmarket.com,True,Nashville,Tennessee,3000 granny white pike,Davidson,-86.790709,36.11837,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5/1/2015 10:40:56 AM,,3000,,,granny white,,,,,pike,,
7,1009845,125th Street Fresh Connect Farmers Market,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,http://www.125thStreetFarmersMarket.com,True,New York,New York,163 125th west street,New York,-73.9482477,40.8089533,1,1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4/7/2014 4:32:01 PM,Federal/State government building grounds,163,,,125th,west,,,,street,,
8,1005586,12th  Brandywine Urban Farm Market,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,,True,Wilmington,Delaware,12 brandywine streets,New Castle,-75.53446,39.742117,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4/3/2014 3:43:31 PM,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",12,,,brandywine,,,,,streets,,
9,1008071,14U Farmers Market,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,True,Washington,District of Columbia,1400 u nw street,District of Columbia,-77.0320505,38.9169984,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4/5/2014 1:49:04 PM,Other,1400,,,u,,nw,,,street,,
10,1012710,14th  Kennedy Street Farmers Market,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,,True,Washington,District of Columbia,5500 colorado nw avenue,District of Columbia,-77.0334486,38.9559783,1,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7/20/2016 11:16:24 AM,,5500,,,colorado,,nw,,,avenue,,
11,1010284,175th Street Greenmarket,,,,http://www.grownyc.org/ourmarkets,True,New York,New York,175 street at wadsworth ave,New York,-73.9378024,40.8459583,1,1,1,1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/3/2014 12:38:54 PM,Closed-off public street,175,,,street at wadsworth,,,,,ave,,
12,1003877,17th Ave Market,,,,http://www.iatp.org/minimarkets,True,Minneapolis,Minnesota,1622 6th ne st,Hennepin,-93.2591,45.0044,0,1,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4/28/2011 2:33:54 PM,"Faith-based institution (e.g., church, mosque, synagogue, temple)",1622,,,6th,,ne,,,st,,
13,1002619,17th Street Farmers Market,,,,http://www.17thstreetfarmersmarket.com,True,Richmond,Virginia,17 main streets,Henrico,-77.4886,37.5583,0,0,0,0,,,,,,,,,,,2009,,17,,,main,,,,,streets,,
14,1010968,18th and Christian Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/18th-Christian,True,Philadelphia,Pennsylvania,18th street,Philadelphia,-75.173431,39.940943,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 3:33:48 PM,,,,,18th,,,,,street,,
15,1009994,18th Street Farmers Market,https://www.facebook.com/ScottsbluffFarmersMarket,,,,True,Scottsbluff,Nebraska,18th,Scotts Bluff,-103.662538,41.864268,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6/29/2016 4:32:46 PM,,,,,18th,,,,,,,
16,1010376,18th Street Farmers Market,https://www.facebook.com/groups/631614906915563/,,,,True,Charleston,Illinois,825 18th street,Coles,-88.163254,39.490737,1,1,1,1,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6/27/2016 9:31:27 PM,,825,,,18th,,,,,street,,
17,1012790,1927 Community Farmers Market,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,True,Chiefland,Florida,7th northeast ave,Levy,-82.8578732,29.4848541,1,0,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8/19/2016 4:07:34 PM,,,,,7th,northeast,,,,ave,,
18,1012158,21 Acres Farm Market,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,http://21acres.org,True,Woodinville,Washington,13701 171st northeast street,King,-122.1569875,47.7502397,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6/30/2016 7:50:56 PM,,13701,,,171st,northeast,,,,street,,
19,1010873,21st Street Farmers Market,,,,,False,Topeka,Kansas,21st southwest,Shawnee,-95.714514,39.028184,1,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/2/2015 10:46:33 AM,,,,,21st,southwest,,,,,,
20,1005309,22nd and Tasker Farmers Market,,,,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,True,Philadelphia,Pennsylvania,22nd,Philadelphia,-75.181286,39.932257,1,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3/24/2015 2:29:42 PM,,,,,22nd,,,,,,,
