abbvr,suffix
ALLEE,ALY
ALLEY,
ALLY,
ALY,
ANEX,ANX
ANNEX,
ANNX,
ANX,
ARC,ARC
ARCADE,
AV,AVE
AVE,
AVEN,
AVENU,
AVENUE,
AVN,
AVNUE,
BAYOO,BYU
BAYOU,
BCH,BCH
BEACH,
BEND,BND
BND,
BLF,BLF
BLUF,
BLUFF,
BLUFFS,BLFS
BOT,BTM
BTM,
BOTTM,
BOTTOM,
BLVD,BLVD
BOUL,
BOULEVARD,
BOULV,
BR,BR
BRNCH,
BRANCH,
BRDGE,BRG
BRG,
BRIDGE,
BRK,BRK
BROOK,
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYP,BYP
BYPA,
BYPAS,
BYPASS,
BYPS,
CAMP,CP
CP,
CMP,
CANYN,CYN
CANYON,
CNYN,
CAPE,CPE
CPE,
CAUSEWAY,CSWY
CAUSWA,
CSWY,
CEN,CTR
CENT,
CENTER,
CENTR,
CENTRE,
CNTER,
CNTR,
CTR,
CENTERS,CTRS
CIR,CIR
CIRC,
CIRCL,
CIRCLE,
CRCL,
CRCLE,
CIRCLES,CIRS
CLF,CLF
CLIFF,
CLFS,CLFS
CLIFFS,
CLB,CLB
CLUB,
COMMON,CMN
COMMONS,CMNS
COR,COR
CORNER,
CORNERS,CORS
CORS,
COURSE,CRSE
CRSE,
COURT,CT
CT,
COURTS,CTS
CTS,
COVE,CV
CV,
COVES,CVS
CREEK,CRK
CRK,
CRESCENT,CRES
CRES,
CRSENT,
CRSNT,
CREST,CRST
CROSSING,XING
CRSSNG,
XING,
CROSSROAD,XRD
CROSSROADS,XRDS
CURVE,CURV
DALE,DL
DL,
DAM,DM
DM,
DIV,DV
DIVIDE,
DV,
DVD,
DR,DR
DRIV,
DRIVE,
DRV,
DRIVES,DRS
EST,EST
ESTATE,
ESTATES,ESTS
ESTS,
EXP,EXPY
EXPR,
EXPRESS,
EXPRESSWAY,
EXPW,
EXPY,
EXT,EXT
EXTENSION,
EXTN,
EXTNSN,
EXTS,EXTS
FALL,FALL
FALLS,FLS
FLS,
FERRY,FRY
FRRY,
FRY,
FIELD,FLD
FLD,
FIELDS,FLDS
FLDS,
FLAT,FLT
FLT,
FLATS,FLTS
FLTS,
FORD,FRD
FRD,
FORDS,FRDS
FOREST,FRST
FORESTS,
FRST,
FORG,FRG
FORGE,
FRG,
FORGES,FRGS
FORK,FRK
FRK,
FORKS,FRKS
FRKS,
FORT,FT
FRT,
FT,
FREEWAY,FWY
FREEWY,
FRWAY,
FRWY,
FWY,
GARDEN,GDN
GARDN,
GRDEN,
GRDN,
GARDENS,GDNS
GDNS,
GRDNS,
GATEWAY,GTWY
GATEWY,
GATWAY,
GTWAY,
GTWY,
GLEN,GLN
GLN,
GLENS,GLNS
GREEN,GRN
GRN,
